Nama_Negara,Wilayah,Jenis_Tanaman,year,Suhu_Rata_Rata_C,is_predicted
Argentina,Northeast,Barley,1992,22.83,False
Argentina,Northeast,Barley,1993,22.83,True
Argentina,Northeast,Barley,1994,-1.745,False
Argentina,Northeast,Barley,1995,23.27,False
Argentina,Northeast,Barley,1996,18.838716571484497,True
Argentina,Northeast,Barley,1997,18.77,False
Argentina,Northeast,Barley,1998,17.635,False
Argentina,Northeast,Barley,1999,22.87,False
Argentina,Northeast,Barley,2000,21.634177821874694,True
Argentina,Northeast,Barley,2001,4.34,False
Argentina,Northeast,Barley,2002,10.396201581013637,True
Argentina,Northeast,Barley,2003,14.37,False
Argentina,Northeast,Barley,2004,24.77,False
Argentina,Northeast,Barley,2005,17.62,False
Argentina,Northeast,Barley,2006,15.219846770886441,True
Argentina,Northeast,Barley,2007,23.19,False
Argentina,Northeast,Barley,2008,20.21515121760123,True
Argentina,Northeast,Barley,2009,17.6,False
Argentina,Northeast,Barley,2010,17.78,False
Argentina,Northeast,Barley,2011,20.071184104046075,True
Argentina,Northeast,Barley,2012,22.136447291313413,True
Argentina,Northeast,Barley,2013,25.16,False
Argentina,Northeast,Barley,2014,21.597374819917235,True
Argentina,Northeast,Barley,2015,22.173414437760783,True
Argentina,Northeast,Barley,2016,23.497413975570886,True
Argentina,Northeast,Barley,2017,1.94,False
Argentina,Northeast,Barley,2018,17.181717905529723,True
Argentina,Northeast,Barley,2019,9.116666666666665,False
Argentina,Northeast,Barley,2020,11.79,False
Argentina,Northeast,Barley,2021,18.103896377698636,True
Argentina,Northeast,Barley,2022,14.718130787548837,True
Argentina,Northeast,Barley,2023,14.889999999999999,False
Argentina,Northeast,Coffee,1990,1.01,False
Argentina,Northeast,Coffee,1991,25.7,False
Argentina,Northeast,Coffee,1992,28.37152280502596,True
Argentina,Northeast,Coffee,1993,4.07,False
Argentina,Northeast,Coffee,1994,21.19,False
Argentina,Northeast,Coffee,1995,16.52,False
Argentina,Northeast,Coffee,1996,-3.53,False
Argentina,Northeast,Coffee,1997,33.19,False
Argentina,Northeast,Coffee,1998,16.07,False
Argentina,Northeast,Coffee,1999,17.785452440582418,True
Argentina,Northeast,Coffee,2000,33.04,False
Argentina,Northeast,Coffee,2001,31.79294400525317,True
Argentina,Northeast,Coffee,2002,30.65821372523886,True
Argentina,Northeast,Coffee,2003,34.17124743992319,True
Argentina,Northeast,Coffee,2004,33.65417037214524,True
Argentina,Northeast,Coffee,2005,5.37,False
Argentina,Northeast,Coffee,2006,25.653269575353768,True
Argentina,Northeast,Coffee,2007,34.603345483388836,True
Argentina,Northeast,Coffee,2008,29.961432446215156,True
Argentina,Northeast,Coffee,2009,36.33129042270874,True
Argentina,Northeast,Coffee,2010,10.54,False
Argentina,Northeast,Coffee,2011,24.76445627832794,True
Argentina,Northeast,Coffee,2012,34.008402010323124,True
Argentina,Northeast,Coffee,2013,25.095,False
Argentina,Northeast,Coffee,2014,20.619999999999997,False
Argentina,Northeast,Coffee,2015,-1.47,False
Argentina,Northeast,Coffee,2016,20.11886396690147,True
Argentina,Northeast,Coffee,2017,4.785,False
Argentina,Northeast,Coffee,2018,17.727116491173017,True
Argentina,Northeast,Coffee,2019,9.57,False
Argentina,Northeast,Coffee,2020,24.62,False
Argentina,Northeast,Coffee,2021,20.873397857698645,True
Argentina,Northeast,Coffee,2022,1.63,False
Argentina,Northeast,Coffee,2023,15.882505144297568,True
Argentina,Northeast,Coffee,2024,19.7,False
Argentina,Northeast,Corn,1990,11.81,False
Argentina,Northeast,Corn,1991,33.19,False
Argentina,Northeast,Corn,1992,36.787143871853125,True
Argentina,Northeast,Corn,1993,41.81159378086467,True
Argentina,Northeast,Corn,1994,47.425216239261424,True
Argentina,Northeast,Corn,1995,6.02,False
Argentina,Northeast,Corn,1996,13.59,False
Argentina,Northeast,Corn,1997,16.732849184784122,True
Argentina,Northeast,Corn,1998,17.706740692222077,True
Argentina,Northeast,Corn,1999,18.624994897966683,True
Argentina,Northeast,Corn,2000,19.28024140522783,True
Argentina,Northeast,Corn,2001,19.921894721754843,True
Argentina,Northeast,Corn,2002,19.053402660494655,True
Argentina,Northeast,Corn,2003,-4.09,False
Argentina,Northeast,Corn,2004,7.814912278444464,True
Argentina,Northeast,Corn,2005,11.70409564237428,True
Argentina,Northeast,Corn,2006,14.94,False
Argentina,Northeast,Corn,2007,8.903956953284014,True
Argentina,Northeast,Corn,2008,-4.56,False
Argentina,Northeast,Corn,2009,25.89,False
Argentina,Northeast,Corn,2010,13.195,False
Argentina,Northeast,Corn,2011,1.8052277972609243,True
Argentina,Northeast,Corn,2012,26.19,False
Argentina,Northeast,Corn,2013,25.79,False
Argentina,Northeast,Corn,2014,26.975,False
Argentina,Northeast,Corn,2015,9.113673916033779,True
Argentina,Northeast,Corn,2016,32.34,False
Argentina,Northeast,Corn,2017,21.46018314319084,True
Argentina,Northeast,Corn,2018,10.7725,False
Argentina,Northeast,Corn,2019,12.29,False
Argentina,Northeast,Corn,2020,20.0,False
Argentina,Northeast,Corn,2021,-2.73,False
Argentina,Northeast,Corn,2022,16.4,False
Argentina,Northeast,Corn,2023,10.661923975170025,True
